ESTIMATE_SOURCE,PROGRAM,LOGISTICAL_AREA,PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR,LINK,Include (20),Include (15)
Creel,Barkley Sound,Barkley Sound,Area 23 (Barkley),2013,8,Released,CHINOOK SALMON,124,1431,432.83,Creel-2013-8-Area 23 (Barkley),Y,Y
Creel,Clayoquot Sound,Clayoquot Sound,Area 24,2013,8,Kept,CHINOOK SALMON,124,213,41.07,Creel-2013-8-Area 24,Y,Y
Creel,Clayoquot Sound,Clayoquot Sound,Area 24,2013,8,Released,CHINOOK SALMON,124,783,173.45,Creel-2013-8-Area 24,Y,Y
Creel,Nootka Sound,Nootka Snd. / Esperanza Inlet,Area 25,2013,8,Kept,CHINOOK SALMON,124,8665,1347.18,Creel-2013-8-Area 25,Y,Y
Creel,Nootka Sound,Nootka Snd. / Esperanza Inlet,Area 25,2013,8,Released,CHINOOK SALMON,124,7156,1210.88,Creel-2013-8-Area 25,Y,Y
Log Estimate,Kyuquot Sound,Kyuquot Sound,Area 26,2013,8,Kept,CHINOOK SALMON,124,160,0.00,Log Estimate-2013-8-Area 26,N,N
Log Estimate,Kyuquot Sound,Kyuquot Sound,Area 26,2013,8,Released,CHINOOK SALMON,124,197,0.00,Log Estimate-2013-8-Area 26,N,N
Creel,Quatsino Sound,Quatsino Sound,Area 27,2013,8,Kept,CHINOOK SALMON,124,1154,81.25,Creel-2013-8-Area 27,Y,Y
Creel,Quatsino Sound,Quatsino Sound,Area 27,2013,8,Released,CHINOOK SALMON,124,500,49.37,Creel-2013-8-Area 27,Y,Y
Creel,Georgia Strait,Howe Sound,Area 28,2013,8,Kept,CHINOOK SALMON,124,72,34.80,Creel-2013-8-Area 28,Y,Y
Creel,Georgia Strait,Howe Sound,Area 28,2013,8,Released,CHINOOK SALMON,124,307,282.94,Creel-2013-8-Area 28,Y,Y
Creel,Georgia Strait,Vancouver,Area 29,2013,8,Kept,CHINOOK SALMON,124,824,278.55,Creel-2013-8-Area 29,N,N
Creel,Georgia Strait,Vancouver,Area 29,2013,8,Released,CHINOOK SALMON,124,1130,459.37,Creel-2013-8-Area 29,N,N
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2013,8,Kept,CHINOOK SALMON,124,100,0.00,Historic Estimate-2013-8-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2013,8,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2013-8-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2013,8,Kept,CHINOOK SALMON,124,5800,0.00,Historic Estimate-2013-8-Area 2W,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2013,8,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2013-8-Area 2W,#N/A,#N/A
Historic Estimate,Central Coast,PFMA 6,Area 6,2013,8,Kept,CHINOOK SALMON,124,261,0.00,Historic Estimate-2013-8-Area 6,#N/A,#N/A
Historic Estimate,Central Coast,PFMA 6,Area 6,2013,8,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2013-8-Area 6,#N/A,#N/A
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2013,9,Kept,CHINOOK SALMON,124,1000,0.00,Historic Estimate-2013-9-Area 1,#N/A,#N/A
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2013,9,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2013-9-Area 1,#N/A,#N/A
Creel,Renfrew/Swiftsure,Swiftsure Bank,Area 121,2013,9,Kept,CHINOOK SALMON,124,654,215.35,Creel-2013-9-Area 121,N,N
Creel,Renfrew/Swiftsure,Swiftsure Bank,Area 121,2013,9,Released,CHINOOK SALMON,124,55,49.58,Creel-2013-9-Area 121,N,N
Creel,Barkley Sound,Offshore Barkley,Area 123,2013,9,Kept,CHINOOK SALMON,124,1188,162.12,Creel-2013-9-Area 123,N,N
Creel,Barkley Sound,Offshore Barkley,Area 123,2013,9,Released,CHINOOK SALMON,124,1111,179.12,Creel-2013-9-Area 123,N,N
Creel,Clayoquot Sound,Offshore Clayoquot,Area 124,2013,9,Kept,CHINOOK SALMON,124,13,5.29,Creel-2013-9-Area 124,N,N
Creel,Clayoquot Sound,Offshore Clayoquot,Area 124,2013,9,Released,CHINOOK SALMON,124,0,0.00,Creel-2013-9-Area 124,N,N
Creel,Georgia Strait,Campbell River,Area 13,2013,9,Kept,CHINOOK SALMON,124,534,113.44,Creel-2013-9-Area 13,N,N
Creel,Georgia Strait,Campbell River,Area 13,2013,9,Released,CHINOOK SALMON,124,3354,576.15,Creel-2013-9-Area 13,N,N
In Fill,Georgia Strait,Comox,Area 14,2013,9,Kept,CHINOOK SALMON,124,1135,0.00,In Fill-2013-9-Area 14,N,N
In Fill,Georgia Strait,Comox,Area 14,2013,9,Released,CHINOOK SALMON,124,542,0.00,In Fill-2013-9-Area 14,N,N
In Fill,Georgia Strait,Powell River,Area 15,2013,9,Kept,CHINOOK SALMON,124,122,0.00,In Fill-2013-9-Area 15,N,N
In Fill,Georgia Strait,Powell River,Area 15,2013,9,Released,CHINOOK SALMON,124,3,0.00,In Fill-2013-9-Area 15,N,N
In Fill,Georgia Strait,Sunshine Coast,Area 16,2013,9,Kept,CHINOOK SALMON,124,82,0.00,In Fill-2013-9-Area 16,N,N
In Fill,Georgia Strait,Sunshine Coast,Area 16,2013,9,Released,CHINOOK SALMON,124,0,0.00,In Fill-2013-9-Area 16,N,N
In Fill,Georgia Strait,Nanaimo,Area 17,2013,9,Kept,CHINOOK SALMON,124,152,0.00,In Fill-2013-9-Area 17,N,N
In Fill,Georgia Strait,Nanaimo,Area 17,2013,9,Released,CHINOOK SALMON,124,45,0.00,In Fill-2013-9-Area 17,N,N
In Fill,Georgia Strait,Gulf Islands,Area 18,2013,9,Kept,CHINOOK SALMON,124,31,0.00,In Fill-2013-9-Area 18,N,N
In Fill,Georgia Strait,Gulf Islands,Area 18,2013,9,Released,CHINOOK SALMON,124,71,0.00,In Fill-2013-9-Area 18,N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2013,9,Kept,CHINOOK SALMON,124,0,0.00,Creel-2013-9-Area 19 (GS),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2013,9,Released,CHINOOK SALMON,124,0,0.00,Creel-2013-9-Area 19 (GS),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2013,9,Kept,CHINOOK SALMON,124,365,101.58,Creel-2013-9-Area 19 (JDF),Y,Y
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2013,9,Released,CHINOOK SALMON,124,245,109.06,Creel-2013-9-Area 19 (JDF),Y,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2013,9,Kept,CHINOOK SALMON,124,1753,688.42,Creel-2013-9-Area 20 (East),N,N
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2013,9,Released,CHINOOK SALMON,124,2457,1614.09,Creel-2013-9-Area 20 (East),N,N
Creel,Renfrew/Swiftsure,Juan de Fuca,Area 20 (West),2013,9,Kept,CHINOOK SALMON,124,1094,165.33,Creel-2013-9-Area 20 (West),N,N
Creel,Renfrew/Swiftsure,Juan de Fuca,Area 20 (West),2013,9,Released,CHINOOK SALMON,124,334,103.77,Creel-2013-9-Area 20 (West),N,N
Creel,Renfrew/Swiftsure,Nitinat,Area 21,2013,9,Kept,CHINOOK SALMON,124,0,0.00,Creel-2013-9-Area 21,N,N
Creel,Renfrew/Swiftsure,Nitinat,Area 21,2013,9,Released,CHINOOK SALMON,124,0,0.00,Creel-2013-9-Area 21,N,N
Creel,Barkley Sound,Alberni Inlet,Area 23 (Alberni Canal),2013,9,Kept,CHINOOK SALMON,124,0,0.00,Creel-2013-9-Area 23 (Alberni Canal),N,N
Creel,Barkley Sound,Alberni Inlet,Area 23 (Alberni Canal),2013,9,Released,CHINOOK SALMON,124,522,158.71,Creel-2013-9-Area 23 (Alberni Canal),N,N
Creel,Barkley Sound,Barkley Sound,Area 23 (Barkley),2013,9,Kept,CHINOOK SALMON,124,486,155.84,Creel-2013-9-Area 23 (Barkley),N,N
Creel,Barkley Sound,Barkley Sound,Area 23 (Barkley),2013,9,Released,CHINOOK SALMON,124,870,367.89,Creel-2013-9-Area 23 (Barkley),N,N
Creel,Clayoquot Sound,Clayoquot Sound,Area 24,2013,9,Kept,CHINOOK SALMON,124,6,1.88,Creel-2013-9-Area 24,N,N
Creel,Clayoquot Sound,Clayoquot Sound,Area 24,2013,9,Released,CHINOOK SALMON,124,134,16.43,Creel-2013-9-Area 24,N,N
In Fill,Georgia Strait,Howe Sound,Area 28,2013,9,Kept,CHINOOK SALMON,124,441,0.00,In Fill-2013-9-Area 28,N,N
In Fill,Georgia Strait,Howe Sound,Area 28,2013,9,Released,CHINOOK SALMON,124,15,0.00,In Fill-2013-9-Area 28,N,N
In Fill,Georgia Strait,Vancouver,Area 29,2013,9,Kept,CHINOOK SALMON,124,333,0.00,In Fill-2013-9-Area 29,N,N
In Fill,Georgia Strait,Vancouver,Area 29,2013,9,Released,CHINOOK SALMON,124,207,0.00,In Fill-2013-9-Area 29,N,N
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2013,9,Kept,CHINOOK SALMON,124,50,0.00,Historic Estimate-2013-9-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2013,9,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2013-9-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2013,9,Kept,CHINOOK SALMON,124,600,0.00,Historic Estimate-2013-9-Area 2W,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2013,9,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2013-9-Area 2W,#N/A,#N/A
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2013,10,Kept,CHINOOK SALMON,124,0,0.00,Creel-2013-10-Area 19 (GS),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2013,10,Released,CHINOOK SALMON,124,0,0.00,Creel-2013-10-Area 19 (GS),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2013,10,Kept,CHINOOK SALMON,124,80,31.38,Creel-2013-10-Area 19 (JDF),N,Y
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2013,10,Released,CHINOOK SALMON,124,115,50.86,Creel-2013-10-Area 19 (JDF),N,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2013,10,Kept,CHINOOK SALMON,124,346,103.47,Creel-2013-10-Area 20 (East),N,N
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2013,10,Released,CHINOOK SALMON,124,721,273.20,Creel-2013-10-Area 20 (East),N,N
Creel,Renfrew/Swiftsure,Juan de Fuca,Area 20 (West),2013,10,Kept,CHINOOK SALMON,124,0,0.00,Creel-2013-10-Area 20 (West),N,N
Creel,Renfrew/Swiftsure,Juan de Fuca,Area 20 (West),2013,10,Released,CHINOOK SALMON,124,0,0.00,Creel-2013-10-Area 20 (West),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2014,2,Kept,CHINOOK SALMON,124,1,0.00,Creel-2014-2-Area 19 (GS),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2014,2,Released,CHINOOK SALMON,124,0,0.00,Creel-2014-2-Area 19 (GS),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2014,2,Kept,CHINOOK SALMON,124,93,46.47,Creel-2014-2-Area 19 (JDF),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2014,2,Released,CHINOOK SALMON,124,67,42.08,Creel-2014-2-Area 19 (JDF),N,N
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2014,2,Kept,CHINOOK SALMON,124,186,79.83,Creel-2014-2-Area 20 (East),N,N
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2014,2,Released,CHINOOK SALMON,124,199,100.90,Creel-2014-2-Area 20 (East),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2014,3,Kept,CHINOOK SALMON,124,2,0.00,Creel-2014-3-Area 19 (GS),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2014,3,Released,CHINOOK SALMON,124,0,0.00,Creel-2014-3-Area 19 (GS),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2014,3,Kept,CHINOOK SALMON,124,228,74.39,Creel-2014-3-Area 19 (JDF),Y,Y
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2014,3,Released,CHINOOK SALMON,124,217,71.66,Creel-2014-3-Area 19 (JDF),Y,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2014,3,Kept,CHINOOK SALMON,124,255,64.03,Creel-2014-3-Area 20 (East),Y,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2014,3,Released,CHINOOK SALMON,124,330,110.58,Creel-2014-3-Area 20 (East),Y,Y
Creel,Renfrew/Swiftsure,Juan de Fuca,Area 20 (West),2014,3,Kept,CHINOOK SALMON,124,0,0.00,Creel-2014-3-Area 20 (West),N,N
Creel,Renfrew/Swiftsure,Juan de Fuca,Area 20 (West),2014,3,Released,CHINOOK SALMON,124,0,0.00,Creel-2014-3-Area 20 (West),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2014,4,Kept,CHINOOK SALMON,124,0,0.00,Creel-2014-4-Area 19 (GS),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2014,4,Released,CHINOOK SALMON,124,0,0.00,Creel-2014-4-Area 19 (GS),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2014,4,Kept,CHINOOK SALMON,124,252,63.02,Creel-2014-4-Area 19 (JDF),N,Y
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2014,4,Released,CHINOOK SALMON,124,46,23.63,Creel-2014-4-Area 19 (JDF),N,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2014,4,Kept,CHINOOK SALMON,124,204,62.60,Creel-2014-4-Area 20 (East),N,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2014,4,Released,CHINOOK SALMON,124,164,66.65,Creel-2014-4-Area 20 (East),N,Y
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2014,5,Kept,CHINOOK SALMON,124,850,0.00,Historic Estimate-2014-5-Area 1,#N/A,#N/A
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2014,5,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2014-5-Area 1,#N/A,#N/A
In Fill,Georgia Strait,Campbell River,Area 13,2014,5,Kept,CHINOOK SALMON,124,298,0.00,In Fill-2014-5-Area 13,N,N
In Fill,Georgia Strait,Campbell River,Area 13,2014,5,Released,CHINOOK SALMON,124,74,0.00,In Fill-2014-5-Area 13,N,N
In Fill,Georgia Strait,Comox,Area 14,2014,5,Kept,CHINOOK SALMON,124,943,0.00,In Fill-2014-5-Area 14,N,N
In Fill,Georgia Strait,Comox,Area 14,2014,5,Released,CHINOOK SALMON,124,494,0.00,In Fill-2014-5-Area 14,N,N
In Fill,Georgia Strait,Powell River,Area 15,2014,5,Kept,CHINOOK SALMON,124,106,0.00,In Fill-2014-5-Area 15,N,N
In Fill,Georgia Strait,Powell River,Area 15,2014,5,Released,CHINOOK SALMON,124,5,0.00,In Fill-2014-5-Area 15,N,N
In Fill,Georgia Strait,Sunshine Coast,Area 16,2014,5,Kept,CHINOOK SALMON,124,122,0.00,In Fill-2014-5-Area 16,N,N
In Fill,Georgia Strait,Sunshine Coast,Area 16,2014,5,Released,CHINOOK SALMON,124,13,0.00,In Fill-2014-5-Area 16,N,N
In Fill,Georgia Strait,Nanaimo,Area 17,2014,5,Kept,CHINOOK SALMON,124,4141,0.00,In Fill-2014-5-Area 17,N,N
In Fill,Georgia Strait,Nanaimo,Area 17,2014,5,Released,CHINOOK SALMON,124,9078,0.00,In Fill-2014-5-Area 17,N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2014,5,Kept,CHINOOK SALMON,124,0,0.00,Creel-2014-5-Area 19 (GS),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2014,5,Released,CHINOOK SALMON,124,0,0.00,Creel-2014-5-Area 19 (GS),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2014,5,Kept,CHINOOK SALMON,124,306,91.27,Creel-2014-5-Area 19 (JDF),Y,Y
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2014,5,Released,CHINOOK SALMON,124,153,83.81,Creel-2014-5-Area 19 (JDF),Y,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2014,5,Kept,CHINOOK SALMON,124,2139,339.29,Creel-2014-5-Area 20 (East),Y,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2014,5,Released,CHINOOK SALMON,124,1071,275.05,Creel-2014-5-Area 20 (East),Y,Y
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2014,5,Kept,CHINOOK SALMON,124,100,0.00,Historic Estimate-2014-5-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2014,5,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2014-5-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2014,5,Kept,CHINOOK SALMON,124,600,0.00,Historic Estimate-2014-5-Area 2W,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2014,5,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2014-5-Area 2W,#N/A,#N/A
Historic Estimate,Central Coast,PFMA 7,Area 7,2014,5,Kept,CHINOOK SALMON,124,19,0.00,Historic Estimate-2014-5-Area 7,#N/A,#N/A
Historic Estimate,Central Coast,PFMA 7,Area 7,2014,5,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2014-5-Area 7,#N/A,#N/A
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2014,6,Kept,CHINOOK SALMON,124,9500,0.00,Historic Estimate-2014-6-Area 1,#N/A,#N/A
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2014,6,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2014-6-Area 1,#N/A,#N/A
Creel,Johnstone Strait,Queen Charlotte Sound,Area 11,2014,6,Kept,CHINOOK SALMON,124,1022,264.66,Creel-2014-6-Area 11,N,N
Creel,Johnstone Strait,Queen Charlotte Sound,Area 11,2014,6,Released,CHINOOK SALMON,124,427,113.57,Creel-2014-6-Area 11,N,N
Creel,Johnstone Strait,Johnstone Strait,Area 12,2014,6,Kept,CHINOOK SALMON,124,1648,333.20,Creel-2014-6-Area 12,N,N
Creel,Johnstone Strait,Johnstone Strait,Area 12,2014,6,Released,CHINOOK SALMON,124,1473,407.54,Creel-2014-6-Area 12,N,N
Creel,Renfrew/Swiftsure,Swiftsure Bank,Area 121,2014,6,Kept,CHINOOK SALMON,124,1528,206.62,Creel-2014-6-Area 121,Y,Y
Creel,Renfrew/Swiftsure,Swiftsure Bank,Area 121,2014,6,Released,CHINOOK SALMON,124,1964,398.45,Creel-2014-6-Area 121,Y,Y
Creel,Barkley Sound,Offshore Barkley,Area 123,2014,6,Kept,CHINOOK SALMON,124,2712,715.88,Creel-2014-6-Area 123,Y,Y
Creel,Barkley Sound,Offshore Barkley,Area 123,2014,6,Released,CHINOOK SALMON,124,4173,1335.13,Creel-2014-6-Area 123,Y,Y
Creel,Clayoquot Sound,Offshore Clayoquot,Area 124,2014,6,Kept,CHINOOK SALMON,124,2180,144.21,Creel-2014-6-Area 124,N,N
Creel,Clayoquot Sound,Offshore Clayoquot,Area 124,2014,6,Released,CHINOOK SALMON,124,1116,165.61,Creel-2014-6-Area 124,N,N
In Fill,Nootka Sound,Offshore Nootka,Area 125,2014,6,Kept,CHINOOK SALMON,124,163,0.00,In Fill-2014-6-Area 125,N,N
In Fill,Nootka Sound,Offshore Nootka,Area 125,2014,6,Released,CHINOOK SALMON,124,11,0.00,In Fill-2014-6-Area 125,N,N
In Fill,Kyuquot Sound,Offshore Kyuquot,Area 126,2014,6,Kept,CHINOOK SALMON,124,571,0.00,In Fill-2014-6-Area 126,N,N
In Fill,Kyuquot Sound,Offshore Kyuquot,Area 126,2014,6,Released,CHINOOK SALMON,124,8,0.00,In Fill-2014-6-Area 126,N,N
Creel,Quatsino Sound,Offshore Quatsino,Area 127,2014,6,Kept,CHINOOK SALMON,124,175,76.52,Creel-2014-6-Area 127,N,N
Creel,Quatsino Sound,Offshore Quatsino,Area 127,2014,6,Released,CHINOOK SALMON,124,3,3.89,Creel-2014-6-Area 127,N,N
Creel,Georgia Strait,Campbell River,Area 13,2014,6,Kept,CHINOOK SALMON,124,6739,870.62,Creel-2014-6-Area 13,Y,Y
Creel,Georgia Strait,Campbell River,Area 13,2014,6,Released,CHINOOK SALMON,124,7680,1059.09,Creel-2014-6-Area 13,Y,Y
In Fill,Georgia Strait,Comox,Area 14,2014,6,Kept,CHINOOK SALMON,124,1209,0.00,In Fill-2014-6-Area 14,N,N
In Fill,Georgia Strait,Comox,Area 14,2014,6,Released,CHINOOK SALMON,124,49,0.00,In Fill-2014-6-Area 14,N,N
In Fill,Georgia Strait,Powell River,Area 15,2014,6,Kept,CHINOOK SALMON,124,128,0.00,In Fill-2014-6-Area 15,N,N
In Fill,Georgia Strait,Powell River,Area 15,2014,6,Released,CHINOOK SALMON,124,0,0.00,In Fill-2014-6-Area 15,N,N
In Fill,Georgia Strait,Sunshine Coast,Area 16,2014,6,Kept,CHINOOK SALMON,124,52,0.00,In Fill-2014-6-Area 16,N,N
In Fill,Georgia Strait,Sunshine Coast,Area 16,2014,6,Released,CHINOOK SALMON,124,38,0.00,In Fill-2014-6-Area 16,N,N
In Fill,Georgia Strait,Nanaimo,Area 17,2014,6,Kept,CHINOOK SALMON,124,1706,0.00,In Fill-2014-6-Area 17,N,N
In Fill,Georgia Strait,Nanaimo,Area 17,2014,6,Released,CHINOOK SALMON,124,1589,0.00,In Fill-2014-6-Area 17,N,N
Creel,Georgia Strait,Gulf Islands,Area 18,2014,6,Kept,CHINOOK SALMON,124,4,0.00,Creel-2014-6-Area 18,N,N
Creel,Georgia Strait,Gulf Islands,Area 18,2014,6,Released,CHINOOK SALMON,124,0,0.00,Creel-2014-6-Area 18,N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2014,6,Kept,CHINOOK SALMON,124,0,0.00,Creel-2014-6-Area 19 (GS),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2014,6,Released,CHINOOK SALMON,124,0,0.00,Creel-2014-6-Area 19 (GS),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2014,6,Kept,CHINOOK SALMON,124,280,95.79,Creel-2014-6-Area 19 (JDF),Y,Y
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2014,6,Released,CHINOOK SALMON,124,203,211.22,Creel-2014-6-Area 19 (JDF),Y,Y
In Fill,Juan de Fuca,Juan de Fuca,Area 20,2014,6,Kept,CHINOOK SALMON,124,0,0.00,In Fill-2014-6-Area 20,#N/A,#N/A
In Fill,Juan de Fuca,Juan de Fuca,Area 20,2014,6,Released,CHINOOK SALMON,124,229,0.00,In Fill-2014-6-Area 20,#N/A,#N/A
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2014,6,Kept,CHINOOK SALMON,124,2718,423.48,Creel-2014-6-Area 20 (East),Y,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2014,6,Released,CHINOOK SALMON,124,799,181.94,Creel-2014-6-Area 20 (East),Y,Y
Creel,Renfrew/Swiftsure,Juan de Fuca,Area 20 (West),2014,6,Kept,CHINOOK SALMON,124,525,64.83,Creel-2014-6-Area 20 (West),Y,Y
Creel,Renfrew/Swiftsure,Juan de Fuca,Area 20 (West),2014,6,Released,CHINOOK SALMON,124,714,138.82,Creel-2014-6-Area 20 (West),Y,Y
Creel,Renfrew/Swiftsure,Nitinat,Area 21,2014,6,Kept,CHINOOK SALMON,124,20,12.49,Creel-2014-6-Area 21,Y,Y
Creel,Renfrew/Swiftsure,Nitinat,Area 21,2014,6,Released,CHINOOK SALMON,124,10,6.93,Creel-2014-6-Area 21,Y,Y
Creel,Barkley Sound,Alberni Inlet,Area 23 (Alberni Canal),2014,6,Kept,CHINOOK SALMON,124,0,0.00,Creel-2014-6-Area 23 (Alberni Canal),Y,Y
Creel,Barkley Sound,Alberni Inlet,Area 23 (Alberni Canal),2014,6,Released,CHINOOK SALMON,124,0,0.00,Creel-2014-6-Area 23 (Alberni Canal),Y,Y
Creel,Barkley Sound,Barkley Sound,Area 23 (Barkley),2014,6,Kept,CHINOOK SALMON,124,2433,300.07,Creel-2014-6-Area 23 (Barkley),Y,Y
Creel,Barkley Sound,Barkley Sound,Area 23 (Barkley),2014,6,Released,CHINOOK SALMON,124,3535,586.79,Creel-2014-6-Area 23 (Barkley),Y,Y
Creel,Clayoquot Sound,Clayoquot Sound,Area 24,2014,6,Kept,CHINOOK SALMON,124,896,0.00,Creel-2014-6-Area 24,#N/A,#N/A
Log Estimate,Clayoquot Sound,Clayoquot Sound,Area 24,2014,6,Kept,CHINOOK SALMON,124,896,0.00,Log Estimate-2014-6-Area 24,N,N
Creel,Clayoquot Sound,Clayoquot Sound,Area 24,2014,6,Released,CHINOOK SALMON,124,76,0.00,Creel-2014-6-Area 24,#N/A,#N/A
Log Estimate,Clayoquot Sound,Clayoquot Sound,Area 24,2014,6,Released,CHINOOK SALMON,124,76,0.00,Log Estimate-2014-6-Area 24,N,N
In Fill,Nootka Sound,Nootka Snd. / Esperanza Inlet,Area 25,2014,6,Kept,CHINOOK SALMON,124,826,0.00,In Fill-2014-6-Area 25,N,N
In Fill,Nootka Sound,Nootka Snd. / Esperanza Inlet,Area 25,2014,6,Released,CHINOOK SALMON,124,51,0.00,In Fill-2014-6-Area 25,N,N
In Fill,Kyuquot Sound,Kyuquot Sound,Area 26,2014,6,Kept,CHINOOK SALMON,124,378,0.00,In Fill-2014-6-Area 26,N,N
In Fill,Kyuquot Sound,Kyuquot Sound,Area 26,2014,6,Released,CHINOOK SALMON,124,62,0.00,In Fill-2014-6-Area 26,N,N
Creel,Quatsino Sound,Quatsino Sound,Area 27,2014,6,Kept,CHINOOK SALMON,124,448,110.20,Creel-2014-6-Area 27,N,N
Creel,Quatsino Sound,Quatsino Sound,Area 27,2014,6,Released,CHINOOK SALMON,124,752,328.77,Creel-2014-6-Area 27,N,N
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2014,6,Kept,CHINOOK SALMON,124,150,0.00,Historic Estimate-2014-6-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2E,2014,6,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2014-6-Area 2E,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2014,6,Kept,CHINOOK SALMON,124,4500,0.00,Historic Estimate-2014-6-Area 2W,#N/A,#N/A
Historic Estimate,Haida Gwaii,Haida Gwaii,Area 2W,2014,6,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2014-6-Area 2W,#N/A,#N/A
Historic Estimate,Central Coast,PFMA 7,Area 7,2014,6,Kept,CHINOOK SALMON,124,62,0.00,Historic Estimate-2014-6-Area 7,#N/A,#N/A
