ESTIMATE_SOURCE,PROGRAM,LOGISTICAL_AREA,PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR,LINK,Include (20),Include (15)
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2012,4,Released,CHINOOK SALMON,124,8,10.61,Creel-2012-4-Area 19 (GS),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2012,4,Kept,CHINOOK SALMON,124,165,51.10,Creel-2012-4-Area 19 (JDF),N,Y
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2012,4,Released,CHINOOK SALMON,124,104,43.76,Creel-2012-4-Area 19 (JDF),N,Y
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2012,4,Kept,CHINOOK SALMON,124,444,121.81,Creel-2012-4-Area 20 (East),N,N
Creel,Juan de Fuca,Juan de Fuca,Area 20 (East),2012,4,Released,CHINOOK SALMON,124,70,48.34,Creel-2012-4-Area 20 (East),N,N
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2012,5,Kept,CHINOOK SALMON,124,150,0.00,Historic Estimate-2012-5-Area 1,#N/A,#N/A
Historic Estimate,Haida Gwaii,PFMA 1,Area 1,2012,5,Released,CHINOOK SALMON,124,0,0.00,Historic Estimate-2012-5-Area 1,#N/A,#N/A
Creel,Barkley Sound,Offshore Barkley,Area 123,2012,5,Kept,CHINOOK SALMON,124,30,0.00,Creel-2012-5-Area 123,N,N
Creel,Barkley Sound,Offshore Barkley,Area 123,2012,5,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-5-Area 123,N,N
Creel,Clayoquot Sound,Offshore Clayoquot,Area 124,2012,5,Kept,CHINOOK SALMON,124,11,0.00,Creel-2012-5-Area 124,N,N
Creel,Clayoquot Sound,Offshore Clayoquot,Area 124,2012,5,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-5-Area 124,N,N
Creel,Georgia Strait,Campbell River,Area 13,2012,5,Kept,CHINOOK SALMON,124,102,34.18,Creel-2012-5-Area 13,N,N
Creel,Georgia Strait,Campbell River,Area 13,2012,5,Released,CHINOOK SALMON,124,30,18.33,Creel-2012-5-Area 13,N,N
Creel,Georgia Strait,Comox,Area 14,2012,5,Kept,CHINOOK SALMON,124,177,70.44,Creel-2012-5-Area 14,N,N
Creel,Georgia Strait,Comox,Area 14,2012,5,Released,CHINOOK SALMON,124,127,56.22,Creel-2012-5-Area 14,N,N
Creel,Georgia Strait,Powell River,Area 15,2012,5,Kept,CHINOOK SALMON,124,38,19.28,Creel-2012-5-Area 15,N,N
Creel,Georgia Strait,Powell River,Area 15,2012,5,Released,CHINOOK SALMON,124,33,19.11,Creel-2012-5-Area 15,N,N
Creel,Georgia Strait,Sunshine Coast,Area 16,2012,5,Kept,CHINOOK SALMON,124,51,18.69,Creel-2012-5-Area 16,N,N
Creel,Georgia Strait,Sunshine Coast,Area 16,2012,5,Released,CHINOOK SALMON,124,25,10.63,Creel-2012-5-Area 16,N,N
Creel,Georgia Strait,Nanaimo,Area 17,2012,5,Kept,CHINOOK SALMON,124,854,261.52,Creel-2012-5-Area 17,Y,Y
Creel,Georgia Strait,Nanaimo,Area 17,2012,5,Released,CHINOOK SALMON,124,521,390.44,Creel-2012-5-Area 17,Y,Y
Creel,Georgia Strait,Gulf Islands,Area 18,2012,5,Kept,CHINOOK SALMON,124,21,8.39,Creel-2012-5-Area 18,N,N
Creel,Georgia Strait,Gulf Islands,Area 18,2012,5,Released,CHINOOK SALMON,124,8,4.49,Creel-2012-5-Area 18,N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2012,5,Kept,CHINOOK SALMON,124,1,0.88,Creel-2012-5-Area 19 (GS),N,N
Creel,Georgia Strait,Sannich Inlet / Sannich,Area 19 (GS),2012,5,Released,CHINOOK SALMON,124,0,0.00,Creel-2012-5-Area 19 (GS),N,N
Creel,Juan de Fuca,Victoria,Area 19 (JDF),2012,5,Kept,CHINOOK SALMON,124,1193,280.16,Creel-2012-5-Area 19 (JDF),Y,Y
