PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR
Area 20 (West),2012,6,Kept,CHINOOK SALMON,124,542,66.37
Area 20 (West),2012,6,Released,CHINOOK SALMON,124,295,94.15
Area 23 (Barkley),2012,6,Kept,CHINOOK SALMON,124,3147,526.71
Area 23 (Barkley),2012,6,Released,CHINOOK SALMON,124,1967,879.10
Area 24,2012,6,Kept,CHINOOK SALMON,124,245,64.59
Area 24,2012,6,Released,CHINOOK SALMON,124,91,44.49
Area 27,2012,6,Kept,CHINOOK SALMON,124,287,45.64
Area 27,2012,6,Released,CHINOOK SALMON,124,139,38.23
Area 29,2012,6,Kept,CHINOOK SALMON,124,225,89.34
Area 29,2012,6,Released,CHINOOK SALMON,124,64,34.02
Area 3,2012,6,Kept,CHINOOK SALMON,124,1110,194.77
Area 3,2012,6,Released,CHINOOK SALMON,124,53,23.65
Area 4,2012,6,Kept,CHINOOK SALMON,124,1394,212.57
Area 4,2012,6,Released,CHINOOK SALMON,124,128,45.49
Area 11,2012,7,Kept,CHINOOK SALMON,124,1630,253.22
Area 11,2012,7,Released,CHINOOK SALMON,124,727,180.30
Area 12,2012,7,Kept,CHINOOK SALMON,124,2492,268.12
Area 12,2012,7,Released,CHINOOK SALMON,124,3756,539.47
Area 121,2012,7,Kept,CHINOOK SALMON,124,5644,1118.30
Area 121,2012,7,Released,CHINOOK SALMON,124,1645,590.90
Area 123,2012,7,Kept,CHINOOK SALMON,124,6683,1088.02
Area 123,2012,7,Released,CHINOOK SALMON,124,4470,887.30
Area 124,2012,7,Kept,CHINOOK SALMON,124,3734,559.76
Area 124,2012,7,Released,CHINOOK SALMON,124,5022,1063.41
Area 125,2012,7,Kept,CHINOOK SALMON,124,2242,454.58
Area 125,2012,7,Released,CHINOOK SALMON,124,2290,1050.59
Area 127,2012,7,Kept,CHINOOK SALMON,124,1912,263.73
Area 127,2012,7,Released,CHINOOK SALMON,124,1141,225.32
Area 13,2012,7,Kept,CHINOOK SALMON,124,5001,809.43
Area 13,2012,7,Released,CHINOOK SALMON,124,3155,536.84
Area 14,2012,7,Kept,CHINOOK SALMON,124,438,97.19
Area 14,2012,7,Released,CHINOOK SALMON,124,2077,452.78
Area 15,2012,7,Kept,CHINOOK SALMON,124,658,169.39
Area 15,2012,7,Released,CHINOOK SALMON,124,2012,508.48
Area 16,2012,7,Kept,CHINOOK SALMON,124,330,124.36
Area 16,2012,7,Released,CHINOOK SALMON,124,1196,569.47
Area 17,2012,7,Kept,CHINOOK SALMON,124,158,53.71
Area 17,2012,7,Released,CHINOOK SALMON,124,684,174.47
Area 18,2012,7,Kept,CHINOOK SALMON,124,97,37.26
Area 18,2012,7,Released,CHINOOK SALMON,124,100,52.37
Area 19 (JDF),2012,7,Kept,CHINOOK SALMON,124,411,101.50
Area 19 (JDF),2012,7,Released,CHINOOK SALMON,124,55,28.08
Area 20 (East),2012,7,Kept,CHINOOK SALMON,124,2938,334.36
Area 20 (East),2012,7,Released,CHINOOK SALMON,124,1325,342.38
Area 20 (West),2012,7,Kept,CHINOOK SALMON,124,1359,139.97
Area 20 (West),2012,7,Released,CHINOOK SALMON,124,262,56.31
Area 21,2012,7,Kept,CHINOOK SALMON,124,18,16.95
Area 21,2012,7,Released,CHINOOK SALMON,124,0,0.00
Area 23 (Alberni Canal),2012,7,Kept,CHINOOK SALMON,124,58,26.79
Area 23 (Alberni Canal),2012,7,Released,CHINOOK SALMON,124,20,4.76
Area 23 (Barkley),2012,7,Kept,CHINOOK SALMON,124,4280,515.33
Area 23 (Barkley),2012,7,Released,CHINOOK SALMON,124,2833,595.10
Area 24,2012,7,Kept,CHINOOK SALMON,124,707,215.57
Area 24,2012,7,Released,CHINOOK SALMON,124,349,142.35
Area 25,2012,7,Kept,CHINOOK SALMON,124,5704,625.62
Area 25,2012,7,Released,CHINOOK SALMON,124,4288,899.11
Area 27,2012,7,Kept,CHINOOK SALMON,124,751,132.21
Area 27,2012,7,Released,CHINOOK SALMON,124,735,114.20
Area 28,2012,7,Kept,CHINOOK SALMON,124,258,193.56
Area 28,2012,7,Released,CHINOOK SALMON,124,116,47.16
Area 29,2012,7,Kept,CHINOOK SALMON,124,46,26.42
Area 29,2012,7,Released,CHINOOK SALMON,124,187,76.99
Area 3,2012,7,Kept,CHINOOK SALMON,124,2850,297.71
Area 3,2012,7,Released,CHINOOK SALMON,124,103,38.80
Area 4,2012,7,Kept,CHINOOK SALMON,124,1111,139.82
Area 4,2012,7,Released,CHINOOK SALMON,124,74,22.60
Area 11,2012,8,Kept,CHINOOK SALMON,124,528,133.67
Area 11,2012,8,Released,CHINOOK SALMON,124,222,76.32
Area 12,2012,8,Kept,CHINOOK SALMON,124,2270,309.97
Area 12,2012,8,Released,CHINOOK SALMON,124,2036,300.18
Area 121,2012,8,Kept,CHINOOK SALMON,124,3394,465.16
Area 121,2012,8,Released,CHINOOK SALMON,124,853,206.98
Area 123,2012,8,Kept,CHINOOK SALMON,124,7999,1181.38
Area 123,2012,8,Released,CHINOOK SALMON,124,8931,1750.05
Area 124,2012,8,Kept,CHINOOK SALMON,124,4022,858.02
Area 124,2012,8,Released,CHINOOK SALMON,124,4069,1323.76
Area 125,2012,8,Kept,CHINOOK SALMON,124,3125,393.86
Area 125,2012,8,Released,CHINOOK SALMON,124,1816,634.02
Area 127,2012,8,Kept,CHINOOK SALMON,124,3748,665.18
Area 127,2012,8,Released,CHINOOK SALMON,124,1408,236.86
Area 13,2012,8,Kept,CHINOOK SALMON,124,3668,681.19
Area 13,2012,8,Released,CHINOOK SALMON,124,3934,1179.44
Area 14,2012,8,Kept,CHINOOK SALMON,124,932,151.01
Area 14,2012,8,Released,CHINOOK SALMON,124,5670,1072.39
Area 17,2012,8,Kept,CHINOOK SALMON,124,553,190.46
Area 17,2012,8,Released,CHINOOK SALMON,124,6589,1739.89
Area 18,2012,8,Kept,CHINOOK SALMON,124,345,154.87
Area 18,2012,8,Released,CHINOOK SALMON,124,394,200.80
Area 19 (JDF),2012,8,Kept,CHINOOK SALMON,124,794,107.67
Area 19 (JDF),2012,8,Released,CHINOOK SALMON,124,286,70.72
Area 20 (East),2012,8,Kept,CHINOOK SALMON,124,3585,355.18
Area 20 (East),2012,8,Released,CHINOOK SALMON,124,2510,480.77
Area 20 (West),2012,8,Kept,CHINOOK SALMON,124,4316,356.53
Area 20 (West),2012,8,Released,CHINOOK SALMON,124,515,98.36
Area 21,2012,8,Kept,CHINOOK SALMON,124,31,26.28
Area 21,2012,8,Released,CHINOOK SALMON,124,0,0.00
