PFMA,YEAR,MONTH,TYPE,PREFERRED_COMMON_NAME,HART_CD,ESTIMATE,STANDARD_ERROR
Area 23 (Alberni Canal),2013,9,Kept,CHINOOK SALMON,124,0,0.00
Area 23 (Alberni Canal),2013,9,Released,CHINOOK SALMON,124,522,158.71
Area 23 (Barkley),2013,9,Kept,CHINOOK SALMON,124,486,155.84
Area 23 (Barkley),2013,9,Released,CHINOOK SALMON,124,870,367.89
Area 24,2013,9,Kept,CHINOOK SALMON,124,6,1.88
Area 24,2013,9,Released,CHINOOK SALMON,124,134,16.43
Area 19 (JDF),2013,10,Kept,CHINOOK SALMON,124,80,31.38
Area 19 (JDF),2013,10,Released,CHINOOK SALMON,124,115,50.86
Area 20 (East),2013,10,Kept,CHINOOK SALMON,124,346,103.47
Area 20 (East),2013,10,Released,CHINOOK SALMON,124,721,273.20
Area 19 (JDF),2014,2,Kept,CHINOOK SALMON,124,93,46.47
Area 19 (JDF),2014,2,Released,CHINOOK SALMON,124,67,42.08
Area 20 (East),2014,2,Kept,CHINOOK SALMON,124,186,79.83
Area 20 (East),2014,2,Released,CHINOOK SALMON,124,199,100.90
Area 19 (JDF),2014,3,Kept,CHINOOK SALMON,124,228,74.39
Area 19 (JDF),2014,3,Released,CHINOOK SALMON,124,217,71.66
Area 20 (East),2014,3,Kept,CHINOOK SALMON,124,255,64.03
Area 20 (East),2014,3,Released,CHINOOK SALMON,124,330,110.58
Area 19 (JDF),2014,4,Kept,CHINOOK SALMON,124,252,63.02
Area 19 (JDF),2014,4,Released,CHINOOK SALMON,124,46,23.63
Area 20 (East),2014,4,Kept,CHINOOK SALMON,124,204,62.60
Area 20 (East),2014,4,Released,CHINOOK SALMON,124,164,66.65
Area 19 (JDF),2014,5,Kept,CHINOOK SALMON,124,306,91.27
Area 19 (JDF),2014,5,Released,CHINOOK SALMON,124,153,83.81
Area 20 (East),2014,5,Kept,CHINOOK SALMON,124,2139,339.29
Area 20 (East),2014,5,Released,CHINOOK SALMON,124,1071,275.05
Area 11,2014,6,Kept,CHINOOK SALMON,124,1022,264.66
Area 11,2014,6,Released,CHINOOK SALMON,124,427,113.57
Area 12,2014,6,Kept,CHINOOK SALMON,124,1648,333.20
Area 12,2014,6,Released,CHINOOK SALMON,124,1473,407.54
Area 121,2014,6,Kept,CHINOOK SALMON,124,1528,206.62
Area 121,2014,6,Released,CHINOOK SALMON,124,1964,398.45
Area 123,2014,6,Kept,CHINOOK SALMON,124,2712,715.88
Area 123,2014,6,Released,CHINOOK SALMON,124,4173,1335.13
Area 124,2014,6,Kept,CHINOOK SALMON,124,311,144.21
Area 124,2014,6,Released,CHINOOK SALMON,124,221,165.61
Area 127,2014,6,Kept,CHINOOK SALMON,124,175,76.52
Area 127,2014,6,Released,CHINOOK SALMON,124,3,3.89
Area 13,2014,6,Kept,CHINOOK SALMON,124,6739,870.62
Area 13,2014,6,Released,CHINOOK SALMON,124,7680,1059.09
Area 19 (JDF),2014,6,Kept,CHINOOK SALMON,124,280,95.79
Area 19 (JDF),2014,6,Released,CHINOOK SALMON,124,203,211.22
Area 20 (East),2014,6,Kept,CHINOOK SALMON,124,2718,423.48
Area 20 (East),2014,6,Released,CHINOOK SALMON,124,799,181.94
Area 20 (West),2014,6,Kept,CHINOOK SALMON,124,525,64.83
Area 20 (West),2014,6,Released,CHINOOK SALMON,124,714,138.82
Area 21,2014,6,Kept,CHINOOK SALMON,124,20,12.49
Area 21,2014,6,Released,CHINOOK SALMON,124,10,6.93
Area 23 (Barkley),2014,6,Kept,CHINOOK SALMON,124,2433,300.07
Area 23 (Barkley),2014,6,Released,CHINOOK SALMON,124,3535,586.79
Area 27,2014,6,Kept,CHINOOK SALMON,124,448,110.20
Area 27,2014,6,Released,CHINOOK SALMON,124,752,328.77
Area 11,2014,7,Kept,CHINOOK SALMON,124,1947,339.59
Area 11,2014,7,Released,CHINOOK SALMON,124,464,142.33
Area 12,2014,7,Kept,CHINOOK SALMON,124,2431,314.80
Area 12,2014,7,Released,CHINOOK SALMON,124,1732,300.96
Area 121,2014,7,Kept,CHINOOK SALMON,124,5220,722.50
Area 121,2014,7,Released,CHINOOK SALMON,124,4341,920.82
Area 123,2014,7,Kept,CHINOOK SALMON,124,2819,992.49
Area 123,2014,7,Released,CHINOOK SALMON,124,2253,1124.21
Area 124,2014,7,Kept,CHINOOK SALMON,124,3321,479.51
Area 124,2014,7,Released,CHINOOK SALMON,124,1863,344.48
Area 125,2014,7,Kept,CHINOOK SALMON,124,1567,388.57
Area 125,2014,7,Released,CHINOOK SALMON,124,1798,606.11
Area 127,2014,7,Kept,CHINOOK SALMON,124,1995,497.44
Area 127,2014,7,Released,CHINOOK SALMON,124,757,270.26
Area 13,2014,7,Kept,CHINOOK SALMON,124,9521,750.55
Area 13,2014,7,Released,CHINOOK SALMON,124,7170,668.68
Area 19 (JDF),2014,7,Kept,CHINOOK SALMON,124,357,80.98
Area 19 (JDF),2014,7,Released,CHINOOK SALMON,124,315,125.08
Area 20 (East),2014,7,Kept,CHINOOK SALMON,124,3424,428.46
Area 20 (East),2014,7,Released,CHINOOK SALMON,124,4886,1250.95
Area 20 (West),2014,7,Kept,CHINOOK SALMON,124,1268,115.41
Area 20 (West),2014,7,Released,CHINOOK SALMON,124,647,130.88
Area 23 (Barkley),2014,7,Kept,CHINOOK SALMON,124,5673,520.26
Area 23 (Barkley),2014,7,Released,CHINOOK SALMON,124,5243,556.01
Area 24,2014,7,Kept,CHINOOK SALMON,124,1258,279.57
Area 24,2014,7,Released,CHINOOK SALMON,124,588,162.93
Area 25,2014,7,Kept,CHINOOK SALMON,124,8389,1047.44
Area 25,2014,7,Released,CHINOOK SALMON,124,7723,981.51
Area 27,2014,7,Kept,CHINOOK SALMON,124,1976,205.31
Area 27,2014,7,Released,CHINOOK SALMON,124,681,79.85
Area 11,2014,8,Kept,CHINOOK SALMON,124,394,96.41
Area 11,2014,8,Released,CHINOOK SALMON,124,243,155.81
Area 12,2014,8,Kept,CHINOOK SALMON,124,1898,181.81
Area 12,2014,8,Released,CHINOOK SALMON,124,2568,371.76
Area 121,2014,8,Kept,CHINOOK SALMON,124,2849,835.45
Area 121,2014,8,Released,CHINOOK SALMON,124,1030,627.66
Area 123,2014,8,Kept,CHINOOK SALMON,124,3428,733.61
Area 123,2014,8,Released,CHINOOK SALMON,124,2316,702.79
Area 124,2014,8,Kept,CHINOOK SALMON,124,2800,388.64
Area 124,2014,8,Released,CHINOOK SALMON,124,2081,463.95
Area 125,2014,8,Kept,CHINOOK SALMON,124,2824,354.38
Area 125,2014,8,Released,CHINOOK SALMON,124,2152,448.52
Area 127,2014,8,Kept,CHINOOK SALMON,124,2144,322.51
Area 127,2014,8,Released,CHINOOK SALMON,124,858,181.28
Area 13,2014,8,Kept,CHINOOK SALMON,124,4744,397.71
Area 13,2014,8,Released,CHINOOK SALMON,124,7650,782.78
Area 14,2014,8,Kept,CHINOOK SALMON,124,4709,457.69
Area 14,2014,8,Released,CHINOOK SALMON,124,3909,491.28
Area 17,2014,8,Kept,CHINOOK SALMON,124,640,143.50
Area 17,2014,8,Released,CHINOOK SALMON,124,1215,276.10
Area 18,2014,8,Kept,CHINOOK SALMON,124,461,204.57
Area 18,2014,8,Released,CHINOOK SALMON,124,762,453.12
Area 19 (JDF),2014,8,Kept,CHINOOK SALMON,124,475,109.78
Area 19 (JDF),2014,8,Released,CHINOOK SALMON,124,184,94.92
Area 20 (East),2014,8,Kept,CHINOOK SALMON,124,3552,480.36
Area 20 (East),2014,8,Released,CHINOOK SALMON,124,2310,491.85
Area 20 (West),2014,8,Kept,CHINOOK SALMON,124,2444,247.87
Area 20 (West),2014,8,Released,CHINOOK SALMON,124,663,141.91
Area 21,2014,8,Kept,CHINOOK SALMON,124,30,35.25
Area 21,2014,8,Released,CHINOOK SALMON,124,0,0.00
Area 23 (Alberni Canal),2014,8,Kept,CHINOOK SALMON,124,3075,313.04
Area 23 (Alberni Canal),2014,8,Released,CHINOOK SALMON,124,253,76.44
Area 23 (Barkley),2014,8,Kept,CHINOOK SALMON,124,5792,716.55
Area 23 (Barkley),2014,8,Released,CHINOOK SALMON,124,3188,710.69
Area 24,2014,8,Kept,CHINOOK SALMON,124,91,28.95
Area 24,2014,8,Released,CHINOOK SALMON,124,162,44.56
Area 25,2014,8,Kept,CHINOOK SALMON,124,7071,965.56
Area 25,2014,8,Released,CHINOOK SALMON,124,5997,909.81
Area 27,2014,8,Kept,CHINOOK SALMON,124,457,52.06
Area 27,2014,8,Released,CHINOOK SALMON,124,312,75.10
Area 28,2014,8,Kept,CHINOOK SALMON,124,48,21.56
Area 28,2014,8,Released,CHINOOK SALMON,124,0,0.00
Area 29,2014,8,Kept,CHINOOK SALMON,124,831,254.24
Area 29,2014,8,Released,CHINOOK SALMON,124,336,197.72
Area 121,2014,9,Kept,CHINOOK SALMON,124,25,19.06
Area 121,2014,9,Released,CHINOOK SALMON,124,7,6.20
Area 123,2014,9,Kept,CHINOOK SALMON,124,339,106.30
Area 123,2014,9,Released,CHINOOK SALMON,124,276,104.20
Area 13,2014,9,Kept,CHINOOK SALMON,124,2486,502.90
Area 13,2014,9,Released,CHINOOK SALMON,124,3024,623.91
Area 19 (JDF),2014,9,Kept,CHINOOK SALMON,124,244,44.64
Area 19 (JDF),2014,9,Released,CHINOOK SALMON,124,80,37.36
Area 20 (East),2014,9,Kept,CHINOOK SALMON,124,749,221.40
Area 20 (East),2014,9,Released,CHINOOK SALMON,124,696,200.19
Area 20 (West),2014,9,Kept,CHINOOK SALMON,124,540,86.62
Area 20 (West),2014,9,Released,CHINOOK SALMON,124,343,115.14
Area 21,2014,9,Kept,CHINOOK SALMON,124,84,33.56
Area 21,2014,9,Released,CHINOOK SALMON,124,28,11.19
Area 23 (Alberni Canal),2014,9,Kept,CHINOOK SALMON,124,344,73.65
Area 23 (Alberni Canal),2014,9,Released,CHINOOK SALMON,124,52,24.97
Area 23 (Barkley),2014,9,Kept,CHINOOK SALMON,124,1043,225.31
Area 23 (Barkley),2014,9,Released,CHINOOK SALMON,124,484,147.56
Area 28,2014,9,Kept,CHINOOK SALMON,124,499,167.91
Area 28,2014,9,Released,CHINOOK SALMON,124,33,29.66
Area 29,2014,9,Kept,CHINOOK SALMON,124,518,209.13
Area 29,2014,9,Released,CHINOOK SALMON,124,55,45.88
Area 13,2014,10,Kept,CHINOOK SALMON,124,74,49.34
Area 13,2014,10,Released,CHINOOK SALMON,124,246,141.05
Area 14,2014,10,Kept,CHINOOK SALMON,124,36,14.62
Area 14,2014,10,Released,CHINOOK SALMON,124,138,51.11
Area 19 (JDF),2014,10,Kept,CHINOOK SALMON,124,7,3.89
Area 19 (JDF),2014,10,Released,CHINOOK SALMON,124,0,0.00
Area 20 (East),2014,10,Kept,CHINOOK SALMON,124,44,32.20
Area 20 (East),2014,10,Released,CHINOOK SALMON,124,278,89.03
Area 13,2015,2,Kept,CHINOOK SALMON,124,211,63.91
Area 13,2015,2,Released,CHINOOK SALMON,124,147,47.09
Area 14,2015,2,Kept,CHINOOK SALMON,124,340,95.09
Area 14,2015,2,Released,CHINOOK SALMON,124,892,309.68
Area 19 (JDF),2015,2,Kept,CHINOOK SALMON,124,384,79.49
Area 19 (JDF),2015,2,Released,CHINOOK SALMON,124,424,88.41
Area 20 (East),2015,2,Kept,CHINOOK SALMON,124,512,88.77
Area 20 (East),2015,2,Released,CHINOOK SALMON,124,438,86.66
Area 13,2015,3,Kept,CHINOOK SALMON,124,25,13.85
Area 13,2015,3,Released,CHINOOK SALMON,124,73,40.57
Area 14,2015,3,Kept,CHINOOK SALMON,124,14,7.66
Area 14,2015,3,Released,CHINOOK SALMON,124,113,111.39
Area 19 (JDF),2015,3,Kept,CHINOOK SALMON,124,113,28.75
Area 19 (JDF),2015,3,Released,CHINOOK SALMON,124,49,18.56
Area 20 (East),2015,3,Kept,CHINOOK SALMON,124,94,27.59
Area 20 (East),2015,3,Released,CHINOOK SALMON,124,26,12.56
Area 19 (JDF),2015,4,Kept,CHINOOK SALMON,124,575,148.78
Area 19 (JDF),2015,4,Released,CHINOOK SALMON,124,256,120.29
Area 20 (East),2015,4,Kept,CHINOOK SALMON,124,218,89.08
Area 20 (East),2015,4,Released,CHINOOK SALMON,124,52,21.50
Area 17,2015,5,Kept,CHINOOK SALMON,124,3939,679.12
Area 17,2015,5,Released,CHINOOK SALMON,124,2346,422.08
Area 18,2015,5,Kept,CHINOOK SALMON,124,105,63.69
Area 18,2015,5,Released,CHINOOK SALMON,124,12,9.42
Area 19 (GS),2015,5,Kept,CHINOOK SALMON,124,24,23.28
Area 19 (GS),2015,5,Released,CHINOOK SALMON,124,0,0.00
Area 19 (JDF),2015,5,Kept,CHINOOK SALMON,124,1119,247.78
Area 19 (JDF),2015,5,Released,CHINOOK SALMON,124,80,52.55
Area 20 (East),2015,5,Kept,CHINOOK SALMON,124,942,157.05
Area 20 (East),2015,5,Released,CHINOOK SALMON,124,204,76.82
Area 11,2015,6,Kept,CHINOOK SALMON,124,1032,232.79
Area 11,2015,6,Released,CHINOOK SALMON,124,285,100.69
Area 12,2015,6,Kept,CHINOOK SALMON,124,1297,158.95
Area 12,2015,6,Released,CHINOOK SALMON,124,1510,214.04
Area 121,2015,6,Kept,CHINOOK SALMON,124,981,199.47
Area 121,2015,6,Released,CHINOOK SALMON,124,1230,407.05
Area 123,2015,6,Kept,CHINOOK SALMON,124,1662,367.89
Area 123,2015,6,Released,CHINOOK SALMON,124,745,305.81
Area 124,2015,6,Kept,CHINOOK SALMON,124,1916,347.05
Area 124,2015,6,Released,CHINOOK SALMON,124,732,213.75
Area 127,2015,6,Kept,CHINOOK SALMON,124,817,213.10
Area 127,2015,6,Released,CHINOOK SALMON,124,159,73.06
Area 13,2015,6,Kept,CHINOOK SALMON,124,7591,929.96
Area 13,2015,6,Released,CHINOOK SALMON,124,2373,488.60
Area 14,2015,6,Kept,CHINOOK SALMON,124,1037,263.77
Area 14,2015,6,Released,CHINOOK SALMON,124,3327,1041.58
Area 15,2015,6,Kept,CHINOOK SALMON,124,486,136.36
Area 15,2015,6,Released,CHINOOK SALMON,124,538,227.77
Area 16,2015,6,Kept,CHINOOK SALMON,124,278,84.14
Area 16,2015,6,Released,CHINOOK SALMON,124,107,53.66
Area 17,2015,6,Kept,CHINOOK SALMON,124,381,146.88
Area 17,2015,6,Released,CHINOOK SALMON,124,1922,867.16
Area 18,2015,6,Kept,CHINOOK SALMON,124,214,64.45
Area 18,2015,6,Released,CHINOOK SALMON,124,233,103.39
Area 19 (GS),2015,6,Kept,CHINOOK SALMON,124,6,4.71
Area 19 (GS),2015,6,Released,CHINOOK SALMON,124,14,12.75
Area 19 (JDF),2015,6,Kept,CHINOOK SALMON,124,479,79.30
Area 19 (JDF),2015,6,Released,CHINOOK SALMON,124,374,108.51
Area 20 (East),2015,6,Kept,CHINOOK SALMON,124,3432,340.55
Area 20 (East),2015,6,Released,CHINOOK SALMON,124,2306,397.69
Area 20 (West),2015,6,Kept,CHINOOK SALMON,124,624,154.92
Area 20 (West),2015,6,Released,CHINOOK SALMON,124,669,169.88
Area 21,2015,6,Kept,CHINOOK SALMON,124,479,94.53
Area 21,2015,6,Released,CHINOOK SALMON,124,7,4.42
Area 23 (Barkley),2015,6,Kept,CHINOOK SALMON,124,2097,331.17
Area 23 (Barkley),2015,6,Released,CHINOOK SALMON,124,955,204.82
Area 24,2015,6,Kept,CHINOOK SALMON,124,278,84.69
Area 24,2015,6,Released,CHINOOK SALMON,124,101,39.71
Area 27,2015,6,Kept,CHINOOK SALMON,124,368,80.90
Area 27,2015,6,Released,CHINOOK SALMON,124,71,17.51
Area 11,2015,7,Kept,CHINOOK SALMON,124,1078,226.71
Area 11,2015,7,Released,CHINOOK SALMON,124,283,92.60
Area 12,2015,7,Kept,CHINOOK SALMON,124,4378,444.85
Area 12,2015,7,Released,CHINOOK SALMON,124,3729,417.78
Area 121,2015,7,Kept,CHINOOK SALMON,124,4934,756.43
Area 121,2015,7,Released,CHINOOK SALMON,124,3898,860.27
Area 123,2015,7,Kept,CHINOOK SALMON,124,5650,918.93
Area 123,2015,7,Released,CHINOOK SALMON,124,2881,670.60
Area 124,2015,7,Kept,CHINOOK SALMON,124,2662,443.61
Area 124,2015,7,Released,CHINOOK SALMON,124,1419,332.36
Area 125,2015,7,Kept,CHINOOK SALMON,124,1497,386.30
Area 125,2015,7,Released,CHINOOK SALMON,124,415,129.99
Area 127,2015,7,Kept,CHINOOK SALMON,124,1158,156.30
Area 127,2015,7,Released,CHINOOK SALMON,124,636,166.89
Area 13,2015,7,Kept,CHINOOK SALMON,124,7595,1066.88
Area 13,2015,7,Released,CHINOOK SALMON,124,3679,656.01
Area 14,2015,7,Kept,CHINOOK SALMON,124,1216,194.53
Area 14,2015,7,Released,CHINOOK SALMON,124,3176,547.17
Area 19 (JDF),2015,7,Kept,CHINOOK SALMON,124,912,152.36
Area 19 (JDF),2015,7,Released,CHINOOK SALMON,124,958,253.00
Area 20 (East),2015,7,Kept,CHINOOK SALMON,124,6295,504.98
Area 20 (East),2015,7,Released,CHINOOK SALMON,124,3815,548.53
Area 20 (West),2015,7,Kept,CHINOOK SALMON,124,2148,321.80
Area 20 (West),2015,7,Released,CHINOOK SALMON,124,1583,282.49
Area 21,2015,7,Kept,CHINOOK SALMON,124,133,92.25
Area 21,2015,7,Released,CHINOOK SALMON,124,376,379.89
Area 23 (Alberni Canal),2015,7,Kept,CHINOOK SALMON,124,0,0.00
Area 23 (Alberni Canal),2015,7,Released,CHINOOK SALMON,124,20,14.13
Area 23 (Barkley),2015,7,Kept,CHINOOK SALMON,124,2966,480.01
Area 23 (Barkley),2015,7,Released,CHINOOK SALMON,124,2232,556.33
Area 24,2015,7,Kept,CHINOOK SALMON,124,358,78.25
Area 24,2015,7,Released,CHINOOK SALMON,124,196,71.32
Area 25,2015,7,Kept,CHINOOK SALMON,124,7510,890.92
Area 25,2015,7,Released,CHINOOK SALMON,124,4332,694.43
Area 27,2015,7,Kept,CHINOOK SALMON,124,1449,104.85
Area 27,2015,7,Released,CHINOOK SALMON,124,503,65.68
Area 11,2015,8,Kept,CHINOOK SALMON,124,325,79.52
Area 11,2015,8,Released,CHINOOK SALMON,124,65,28.65
Area 12,2015,8,Kept,CHINOOK SALMON,124,3923,432.24
Area 12,2015,8,Released,CHINOOK SALMON,124,2827,373.06
Area 121,2015,8,Kept,CHINOOK SALMON,124,2160,448.46
Area 121,2015,8,Released,CHINOOK SALMON,124,707,262.28
Area 123,2015,8,Kept,CHINOOK SALMON,124,6967,1357.43
Area 123,2015,8,Released,CHINOOK SALMON,124,2926,868.04
Area 124,2015,8,Kept,CHINOOK SALMON,124,2610,494.69
Area 124,2015,8,Released,CHINOOK SALMON,124,1478,404.33
Area 125,2015,8,Kept,CHINOOK SALMON,124,933,385.72
Area 125,2015,8,Released,CHINOOK SALMON,124,201,101.35
Area 127,2015,8,Kept,CHINOOK SALMON,124,1831,350.30
Area 127,2015,8,Released,CHINOOK SALMON,124,875,255.00
Area 13,2015,8,Kept,CHINOOK SALMON,124,13835,1333.35
Area 13,2015,8,Released,CHINOOK SALMON,124,9455,1257.43
Area 14,2015,8,Kept,CHINOOK SALMON,124,970,203.44
Area 14,2015,8,Released,CHINOOK SALMON,124,2418,635.13
Area 19 (JDF),2015,8,Kept,CHINOOK SALMON,124,1340,257.97
Area 19 (JDF),2015,8,Released,CHINOOK SALMON,124,1303,418.31
Area 20 (East),2015,8,Kept,CHINOOK SALMON,124,11388,1250.41
Area 20 (East),2015,8,Released,CHINOOK SALMON,124,5768,869.07
Area 20 (West),2015,8,Kept,CHINOOK SALMON,124,4608,452.55
Area 20 (West),2015,8,Released,CHINOOK SALMON,124,1528,226.06
Area 21,2015,8,Kept,CHINOOK SALMON,124,1771,576.22
Area 21,2015,8,Released,CHINOOK SALMON,124,89,90.44
Area 23 (Alberni Canal),2015,8,Kept,CHINOOK SALMON,124,2022,516.08
Area 23 (Alberni Canal),2015,8,Released,CHINOOK SALMON,124,458,127.16
Area 23 (Barkley),2015,8,Kept,CHINOOK SALMON,124,4473,531.67
Area 23 (Barkley),2015,8,Released,CHINOOK SALMON,124,3078,530.10
Area 24,2015,8,Kept,CHINOOK SALMON,124,72,44.56
Area 24,2015,8,Released,CHINOOK SALMON,124,84,45.84
Area 25,2015,8,Kept,CHINOOK SALMON,124,12133,2274.20
Area 25,2015,8,Released,CHINOOK SALMON,124,5651,758.07
Area 27,2015,8,Kept,CHINOOK SALMON,124,529,82.45
Area 27,2015,8,Released,CHINOOK SALMON,124,243,45.15
Area 28,2015,8,Kept,CHINOOK SALMON,124,805,335.82
Area 28,2015,8,Released,CHINOOK SALMON,124,499,338.97
Area 29,2015,8,Kept,CHINOOK SALMON,124,2832,891.43
Area 29,2015,8,Released,CHINOOK SALMON,124,1055,370.39
Area 121,2015,9,Kept,CHINOOK SALMON,124,44,28.84
Area 121,2015,9,Released,CHINOOK SALMON,124,0,0.00
Area 123,2015,9,Kept,CHINOOK SALMON,124,137,57.28
Area 123,2015,9,Released,CHINOOK SALMON,124,16,16.21
Area 124,2015,9,Kept,CHINOOK SALMON,124,104,34.94
Area 124,2015,9,Released,CHINOOK SALMON,124,53,34.08
Area 13,2015,9,Kept,CHINOOK SALMON,124,6146,1236.51
Area 13,2015,9,Released,CHINOOK SALMON,124,2808,824.33
Area 14,2015,9,Kept,CHINOOK SALMON,124,691,424.78
Area 14,2015,9,Released,CHINOOK SALMON,124,530,167.60
Area 19 (GS),2015,9,Kept,CHINOOK SALMON,124,33,15.10
Area 19 (GS),2015,9,Released,CHINOOK SALMON,124,4,4.59
Area 19 (JDF),2015,9,Kept,CHINOOK SALMON,124,1902,379.56
Area 19 (JDF),2015,9,Released,CHINOOK SALMON,124,1617,578.46
Area 20 (East),2015,9,Kept,CHINOOK SALMON,124,2520,751.54
Area 20 (East),2015,9,Released,CHINOOK SALMON,124,3122,1048.70
Area 20 (West),2015,9,Kept,CHINOOK SALMON,124,1614,521.20
Area 20 (West),2015,9,Released,CHINOOK SALMON,124,868,355.67
Area 21,2015,9,Kept,CHINOOK SALMON,124,431,202.05
Area 21,2015,9,Released,CHINOOK SALMON,124,33,43.31
Area 23 (Alberni Canal),2015,9,Kept,CHINOOK SALMON,124,279,124.84
Area 23 (Alberni Canal),2015,9,Released,CHINOOK SALMON,124,49,35.53
Area 23 (Barkley),2015,9,Kept,CHINOOK SALMON,124,3654,877.10
Area 23 (Barkley),2015,9,Released,CHINOOK SALMON,124,1395,419.11
Area 24,2015,9,Kept,CHINOOK SALMON,124,2,1.56
Area 24,2015,9,Released,CHINOOK SALMON,124,62,25.09
Area 28,2015,9,Kept,CHINOOK SALMON,124,458,147.93
Area 28,2015,9,Released,CHINOOK SALMON,124,86,62.42
Area 29,2015,9,Kept,CHINOOK SALMON,124,2088,589.42
Area 29,2015,9,Released,CHINOOK SALMON,124,726,363.05
Area 19 (JDF),2015,10,Kept,CHINOOK SALMON,124,4,2.99
Area 19 (JDF),2015,10,Released,CHINOOK SALMON,124,44,17.78
Area 20 (East),2015,10,Kept,CHINOOK SALMON,124,71,31.73
Area 20 (East),2015,10,Released,CHINOOK SALMON,124,458,193.98
Area 28,2015,10,Kept,CHINOOK SALMON,124,303,259.24
Area 28,2015,10,Released,CHINOOK SALMON,124,74,79.03
Area 19 (GS),2016,3,Kept,CHINOOK SALMON,124,9,3.32
Area 19 (GS),2016,3,Released,CHINOOK SALMON,124,21,9.00
Area 19 (JDF),2016,3,Kept,CHINOOK SALMON,124,278,65.64
Area 19 (JDF),2016,3,Released,CHINOOK SALMON,124,532,137.32
Area 20 (East),2016,3,Kept,CHINOOK SALMON,124,150,38.36
Area 20 (East),2016,3,Released,CHINOOK SALMON,124,437,131.25
Area 19 (GS),2016,4,Kept,CHINOOK SALMON,124,91,21.07
Area 19 (GS),2016,4,Released,CHINOOK SALMON,124,182,42.14
Area 19 (JDF),2016,4,Kept,CHINOOK SALMON,124,523,176.93
Area 19 (JDF),2016,4,Released,CHINOOK SALMON,124,817,236.27
Area 20 (East),2016,4,Kept,CHINOOK SALMON,124,330,89.99
Area 20 (East),2016,4,Released,CHINOOK SALMON,124,589,280.20
Area 13,2016,5,Kept,CHINOOK SALMON,124,1087,272.20
Area 13,2016,5,Released,CHINOOK SALMON,124,1888,634.68
Area 14,2016,5,Kept,CHINOOK SALMON,124,1328,392.51
Area 14,2016,5,Released,CHINOOK SALMON,124,5597,1538.85
Area 17,2016,5,Kept,CHINOOK SALMON,124,3143,508.21
Area 17,2016,5,Released,CHINOOK SALMON,124,9972,1803.70
Area 18,2016,5,Kept,CHINOOK SALMON,124,71,34.12
Area 18,2016,5,Released,CHINOOK SALMON,124,89,46.31
Area 19 (GS),2016,5,Kept,CHINOOK SALMON,124,0,0.00
Area 19 (GS),2016,5,Released,CHINOOK SALMON,124,9,11.92
Area 19 (JDF),2016,5,Kept,CHINOOK SALMON,124,727,263.48
Area 19 (JDF),2016,5,Released,CHINOOK SALMON,124,272,134.60
Area 20 (East),2016,5,Kept,CHINOOK SALMON,124,884,332.37
Area 20 (East),2016,5,Released,CHINOOK SALMON,124,269,174.28
Area 11,2016,6,Kept,CHINOOK SALMON,124,1184,208.96
Area 11,2016,6,Released,CHINOOK SALMON,124,383,80.32
Area 12,2016,6,Kept,CHINOOK SALMON,124,1136,209.82
Area 12,2016,6,Released,CHINOOK SALMON,124,1679,391.60
Area 121,2016,6,Kept,CHINOOK SALMON,124,1768,354.52
Area 121,2016,6,Released,CHINOOK SALMON,124,782,226.86
Area 123,2016,6,Kept,CHINOOK SALMON,124,1273,255.64
Area 123,2016,6,Released,CHINOOK SALMON,124,497,157.58
Area 124,2016,6,Kept,CHINOOK SALMON,124,2981,357.43
Area 124,2016,6,Released,CHINOOK SALMON,124,1122,194.37
Area 127,2016,6,Kept,CHINOOK SALMON,124,530,135.02
Area 127,2016,6,Released,CHINOOK SALMON,124,116,64.45
Area 13,2016,6,Kept,CHINOOK SALMON,124,3378,454.23
Area 13,2016,6,Released,CHINOOK SALMON,124,6881,1018.63
Area 14,2016,6,Kept,CHINOOK SALMON,124,1359,331.23
Area 14,2016,6,Released,CHINOOK SALMON,124,6304,1153.72
Area 19 (JDF),2016,6,Kept,CHINOOK SALMON,124,436,150.54
Area 19 (JDF),2016,6,Released,CHINOOK SALMON,124,429,172.08
Area 20 (East),2016,6,Kept,CHINOOK SALMON,124,790,150.56
Area 20 (East),2016,6,Released,CHINOOK SALMON,124,820,173.25
Area 20 (West),2016,6,Kept,CHINOOK SALMON,124,443,93.76
Area 20 (West),2016,6,Released,CHINOOK SALMON,124,285,84.44
Area 21,2016,6,Kept,CHINOOK SALMON,124,76,31.32
Area 21,2016,6,Released,CHINOOK SALMON,124,0,0.00
Area 23 (Barkley),2016,6,Kept,CHINOOK SALMON,124,781,132.37
Area 23 (Barkley),2016,6,Released,CHINOOK SALMON,124,1310,275.22
Area 24,2016,6,Kept,CHINOOK SALMON,124,163,57.63
Area 24,2016,6,Released,CHINOOK SALMON,124,33,22.26
Area 27,2016,6,Kept,CHINOOK SALMON,124,754,100.54
Area 27,2016,6,Released,CHINOOK SALMON,124,92,32.60
Area 11,2016,7,Kept,CHINOOK SALMON,124,1413,239.55
Area 11,2016,7,Released,CHINOOK SALMON,124,176,66.15
Area 12,2016,7,Kept,CHINOOK SALMON,124,1673,162.03
Area 12,2016,7,Released,CHINOOK SALMON,124,2158,287.70
Area 121,2016,7,Kept,CHINOOK SALMON,124,5670,599.95
Area 121,2016,7,Released,CHINOOK SALMON,124,2884,489.94
Area 123,2016,7,Kept,CHINOOK SALMON,124,3087,333.03
